fiscal_year,month_numeric,month,item,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2023-2024,12,December,LOANS DISBURSED,8199,89085,13801,68442,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,LOANS DISBURSED,7904,96989,5447,73889,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,LOANS DISBURSED,29963,126952,5142,79031,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,LOANS DISBURSED,34143,161095,36237,115268,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,TOTAL EXPENDITURE,304096,304096,274829,274829,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,TOTAL EXPENDITURE,321882,625978,310945,585774,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,TOTAL EXPENDITURE,424683,1050661,362137,947911,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,TOTAL EXPENDITURE,330039,1380700,178834,1126745,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,TOTAL EXPENDITURE,291057,1671757,263281,1390026,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,TOTAL EXPENDITURE,447382,2119139,433571,1823597,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,TOTAL EXPENDITURE,275273,2394412,320114,2143711,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,TOTAL EXPENDITURE,257755,2652167,299076,2442787,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,TOTAL EXPENDITURE,402050,3054217,375289,2818076,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,TOTAL EXPENDITURE,300513,3354730,349572,3167648,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,TOTAL EXPENDITURE,392557,3747287,325942,3493590,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,TOTAL EXPENDITURE,695255,4442542,699567,4193157,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,FISCAL DEFICIT,133595,133595,74846,74846,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,FISCAL DEFICIT,76692,210287,129075,203921,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,FISCAL DEFICIT,241083,451370,147950,351871,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,FISCAL DEFICIT,154223,605593,-11040,340831,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,FISCAL DEFICIT,37233,642826,200770,541601,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,FISCAL DEFICIT,59035,701861,78248,619849,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,FISCAL DEFICIT,101839,803700,138288,758137,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,FISCAL DEFICIT,102884,906584,220017,978154,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,FISCAL DEFICIT,75694,982278,14822,992976,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,FISCAL DEFICIT,120324,1102602,197829,1190805,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,FISCAL DEFICIT,398763,1501365,263057,1453862,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,FISCAL DEFICIT,152305,1653670,283893,1737755,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,REVENUE DEFICIT,55780,55780,-591,-591,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,REVENUE DEFICIT,-10291,45489,122451,121860,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,REVENUE DEFICIT,138104,183593,82929,204789,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,REVENUE DEFICIT,118639,302232,-42509,162280,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,REVENUE DEFICIT,-17800,284432,158520,320800,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,REVENUE DEFICIT,-53033,231399,-9653,311147,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,REVENUE DEFICIT,48367,279766,73668,384815,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,REVENUE DEFICIT,66636,346402,187707,572522,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,REVENUE DEFICIT,-8104,338298,-14384,558138,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,REVENUE DEFICIT,77336,415634,119969,678107,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,REVENUE DEFICIT,316258,731892,244428,922535,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,REVENUE DEFICIT,33732,765624,147897,1070432,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,PRIMARY DEFICIT,85666,85666,33558,33558,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,PRIMARY DEFICIT,13958,99624,64941,98499,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,PRIMARY DEFICIT,108041,207665,24777,123276,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,PRIMARY DEFICIT,98039,305704,-66315,56961,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,PRIMARY DEFICIT,-30417,275287,146003,202964,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,PRIMARY DEFICIT,-57755,217532,-19797,183167,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,PRIMARY DEFICIT,41082,258614,93798,276965,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,PRIMARY DEFICIT,40007,298621,155990,432955,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,PRIMARY DEFICIT,-64550,234071,-120832,312123,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,PRIMARY DEFICIT,46800,280871,140024,452147,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,PRIMARY DEFICIT,339706,620577,202758,654905,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,PRIMARY DEFICIT,-30778,589799,154333,809238,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,REVENUE RECEIPTS,212293,212293,169859,169859,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,REVENUE RECEIPTS,358465,570758,242841,412700,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,REVENUE RECEIPTS,258919,829677,175888,588588,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,REVENUE RECEIPTS,187343,1017020,172801,761389,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,REVENUE RECEIPTS,191292,1208312,252137,1013526,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,REVENUE RECEIPTS,414061,1622373,383586,1397112,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,REVENUE RECEIPTS,81894,1704267,170610,1567722,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,REVENUE RECEIPTS,166188,1870455,152398,1720120,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,REVENUE RECEIPTS,420255,2290710,322169,2042289,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,REVENUE RECEIPTS,80478,2371188,175620,2217909,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,REVENUE RECEIPTS,137765,2508953,-8127,2209782,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,REVENUE RECEIPTS,527476,3036429,519254,2729036,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,TAX REVENUE (Net),184998,184998,158901,158901,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,TAX REVENUE (Net),134038,319036,119144,278045,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,TAX REVENUE (Net),230597,549633,155575,433620,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,TAX REVENUE (Net),165591,715224,148965,582585,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,TAX REVENUE (Net),158621,873845,221359,803944,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,TAX REVENUE (Net),391314,1265159,356396,1160340,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,TAX REVENUE (Net),39814,1304973,141617,1301957,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,TAX REVENUE (Net),138462,1443435,133798,1435755,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,TAX REVENUE (Net),399618,1843053,294176,1729931,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,TAX REVENUE (Net),60505,1903558,149909,1879840,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,TAX REVENUE (Net),112076,2015634,-30388,1849452,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,TAX REVENUE (Net),483251,2498885,477799,2327251,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,NON-TAX REVENUE,27295,27295,10958,10958,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,NON-TAX REVENUE,224427,251722,123697,134655,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,NON-TAX REVENUE,28322,280044,20313,154968,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,NON-TAX REVENUE,21752,301796,23836,178804,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,NON-TAX REVENUE,32671,334467,30778,209582,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,NON-TAX REVENUE,22747,357214,27190,236772,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,NON-TAX REVENUE,42080,399294,28993,265765,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,NON-TAX REVENUE,27726,427020,18600,284365,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,NON-TAX REVENUE,20637,447657,27993,312358,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,NON-TAX REVENUE,19973,467630,25711,338069,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,NON-TAX REVENUE,25689,493319,22261,360330,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,NON-TAX REVENUE,44225,537544,41455,401785,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,NON-DEBT CAPITAL RECEIPTS,1041,1041,642,642,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,NON-DEBT CAPITAL RECEIPTS,1046,2087,2349,2991,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,NON-DEBT CAPITAL RECEIPTS,2433,4520,7712,10703,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,NON-DEBT CAPITAL RECEIPTS,1866,6386,3015,13718,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,NON-DEBT CAPITAL RECEIPTS,2480,8866,1687,15405,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,NON-DEBT CAPITAL RECEIPTS,5735,14601,4761,20166,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,NON-DEBT CAPITAL RECEIPTS,4206,18807,2824,22990,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,NON-DEBT CAPITAL RECEIPTS,5146,23953,2473,25463,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,NON-DEBT CAPITAL RECEIPTS,3342,27295,4187,29650,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,NON-DEBT CAPITAL RECEIPTS,1929,29224,4569,34219,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,NON-DEBT CAPITAL RECEIPTS,8140,37364,1921,36140,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,NON-DEBT CAPITAL RECEIPTS,4454,41818,23628,59768,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,(RECOVERY OF LOANS),1041,1041,592,592,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,(RECOVERY OF LOANS),1042,2083,2349,2941,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,(RECOVERY OF LOANS),2433,4516,3527,6468,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,(RECOVERY OF LOANS),1865,6381,1785,8253,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,(RECOVERY OF LOANS),1665,8046,1551,9804,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,(RECOVERY OF LOANS),3388,11434,3412,13216,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,(RECOVERY OF LOANS),1841,13275,1774,14990,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,(RECOVERY OF LOANS),1697,14972,1614,16604,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,(RECOVERY OF LOANS),3329,18301,2993,19597,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,(RECOVERY OF LOANS),1904,20205,2067,21664,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,(RECOVERY OF LOANS),1450,21655,1816,23480,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,(RECOVERY OF LOANS),2961,24616,3166,26646,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,(OTHER RECEIPTS),0,0,50,50,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,(OTHER RECEIPTS),4,4,0,50,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,(OTHER RECEIPTS),0,4,4185,4235,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,(OTHER RECEIPTS),1,5,1230,5465,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,(OTHER RECEIPTS),815,820,136,5601,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,(OTHER RECEIPTS),2347,3167,1349,6950,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,(OTHER RECEIPTS),2365,5532,1050,8000,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,(OTHER RECEIPTS),3449,8981,859,8859,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,(OTHER RECEIPTS),13,8994,1194,10053,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,(OTHER RECEIPTS),25,9019,2502,12555,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,(OTHER RECEIPTS),6690,15709,105,12660,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,(OTHER RECEIPTS),1493,17202,20462,33122,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,TOTAL RECEIPTS,213334,213334,170501,170501,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,TOTAL RECEIPTS,359511,572845,245190,415691,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,TOTAL RECEIPTS,261352,834197,183600,599291,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,TOTAL RECEIPTS,189209,1023406,175816,775107,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,TOTAL RECEIPTS,193772,1217178,253824,1028931,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,TOTAL RECEIPTS,419796,1636974,388347,1417278,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,TOTAL RECEIPTS,86100,1723074,173434,1590712,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,TOTAL RECEIPTS,171334,1894408,154871,1745583,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,TOTAL RECEIPTS,423597,2318005,326356,2071939,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,TOTAL RECEIPTS,82407,2400412,180189,2252128,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,TOTAL RECEIPTS,145905,2546317,-6206,2245922,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,TOTAL RECEIPTS,531930,3078247,542882,2788804,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,REVENUE EXPENDITURE,324235,324235,225639,225639,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,REVENUE EXPENDITURE,155600,479835,232550,458189,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,REVENUE EXPENDITURE,309023,788858,313992,772181,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,REVENUE EXPENDITURE,250233,1039091,291440,1063621,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,REVENUE EXPENDITURE,312276,1351367,234337,1297958,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,REVENUE EXPENDITURE,345161,1696528,330553,1628511,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,REVENUE EXPENDITURE,310825,2007353,218977,1847488,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,REVENUE EXPENDITURE,220149,2227502,219034,2066522,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,REVENUE EXPENDITURE,319255,2546757,314065,2380587,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,REVENUE EXPENDITURE,265838,2812595,252956,2633543,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,REVENUE EXPENDITURE,268687,3081282,308131,2941674,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,REVENUE EXPENDITURE,522228,3603510,552578,3494252,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,INTEREST PAYMENTS,128263,128263,47929,47929,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,INTEREST PAYMENTS,-4453,123810,62734,110663,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,INTEREST PAYMENTS,140242,264052,133042,243705,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,INTEREST PAYMENTS,63835,327887,56184,299889,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,INTEREST PAYMENTS,72273,400160,67650,367539,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,INTEREST PAYMENTS,114850,515010,116790,484329,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,INTEREST PAYMENTS,81337,596347,60757,545086,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,INTEREST PAYMENTS,62147,658494,62877,607963,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,INTEREST PAYMENTS,149819,808313,140244,748207,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,INTEREST PAYMENTS,67148,875461,73524,821731,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,INTEREST PAYMENTS,77383,952844,59057,880788,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,INTEREST PAYMENTS,163499,1116343,183084,1063872,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,CAPITAL EXPENDITURE,99235,99235,78457,78457,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,CAPITAL EXPENDITURE,44390,143625,89332,167789,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,CAPITAL EXPENDITURE,37426,181051,110691,278480,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,CAPITAL EXPENDITURE,80209,261260,38599,317079,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,CAPITAL EXPENDITURE,39727,300987,56720,373799,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
