fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,10,October,Others,50848.54,-182205.53,-358%,(-130%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Cash Balance {Decrease(+)/Increase(-)},-53002.81,4990.12,-9%,(10%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Investment (-) / Disinvestment(+) of Surplus Cash,,-224481.00,,,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,Ways & Means Advances,,0.00,,,2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,10,October,TOTAL FINANCING,796337.00,953154.28,120%,(102%),2020-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2020-2021.aspx
2020-2021,11,November,External Financing,4621.65,38495.50,833%,(-240%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Domestic Financing,791715.35,1037011.72,131%,(113%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Market Borrowings,535869.62,1215794.44,227%,(123%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Securities against Small Savings,240000.00,71661.18,30%,(78%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,State Provident Funds,18000.00,9300.21,52%,(17%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Special Deposits,0.00,-657.03,,,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,National Small Saving Fund,0.00,98025.10,,,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Savings Deposit and Certificates,206617.92,128525.08,62%,(75%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Public Provident Funds,89318.51,23315.75,26%,(33%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Investment In Securities,-286577.18,-106417.39,37%,(53%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Income/Expenditure of NSSF,-9359.25,52601.66,-562%,(809%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Others,50848.54,-172151.71,-339%,(-112%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Cash Balance {Decrease(+)/Increase(-)},-53002.81,4989.53,-9%,(10%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Investment (-) / Disinvestment(+) of Surplus Cash,,-189950.00,,,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,Ways & Means Advances,,0.00,,,2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,11,November,TOTAL FINANCING,796337.00,1075507.22,135%,(115%),2020-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2020-2021.aspx
2020-2021,12,December,External Financing,4621.65,42005.77,909%,(-305%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,Domestic Financing,791715.35,1116463.44,141 %,(131%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,Market Borrowings,535869.62,1232637.38,230%,(144%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,Securities against Small Savings,240000.00,108049.16,45 %,(93%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
2020-2021,12,December,State Provident Funds,18000.00,9527.02,53%,(20%),2021-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2020-2021.aspx
