year,month,month_numeric,date_stamp,fx_turnover_purchases_merchant_fcy_inr_spot,fx_turnover_purchases_merchant_fcy_inr_forward,fx_turnover_purchases_merchant_fcy_inr_forward_cancellation,fx_turnover_purchases_merchant_fcy_fcy_spot,fx_turnover_purchases_merchant_fcy_fcy_forward,fx_turnover_purchases_merchant_fcy_fcy_forward_cancellation,fx_turnover_purchases_merchant_total,fx_turnover_purchases_inter_bank_fcy_inr_spot,fx_turnover_purchases_inter_bank_fcy_inr_swap,fx_turnover_purchases_inter_bank_fcy_inr_forward,fx_turnover_purchases_inter_bank_fcy_fcy_spot,fx_turnover_purchases_inter_bank_fcy_fcy_swap,fx_turnover_purchases_inter_bank_fcy_fcy_forward,fx_turnover_purchases_inter_bank_total,fx_turnover_sales_merchant_fcy_inr_spot,fx_turnover_sales_merchant_fcy_inr_forward,fx_turnover_sales_merchant_fcy_inr_forward_cancellation,fx_turnover_sales_merchant_fcy_fcy_spot,fx_turnover_sales_merchant_fcy_fcy_forward,fx_turnover_sales_merchant_fcy_fcy_forward_cancellation,fx_turnover_sales_merchant_total,fx_turnover_sales_inter_bank_fcy_inr_spot,fx_turnover_sales_inter_bank_fcy_inr_swap,fx_turnover_sales_inter_bank_fcy_inr_forward,fx_turnover_sales_inter_bank_fcy_fcy_spot,fx_turnover_sales_inter_bank_fcy_fcy_swap,fx_turnover_sales_inter_bank_fcy_fcy_forward,fx_turnover_sales_inter_bank_total,released_on,updated_on,data_source,data_url
2026,January,1,2026-01-13,6535.151677,4139.643036,5759.534554,390.510823,486.264642,336.66502,17647.769752,17990.184136,36563.3666,6545.997349,6200.771397,3128.855778,779.450224,71208.625484,6718.124472,8382.967307,1437.264407,394.962489,469.162997,336.526396,17739.008068,18233.037929,37829.4462,4058.318202,6172.569598,3184.962559,779.667432,70258.00192,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-12,5294.167044,1136.028142,3017.445048,877.635088,327.392353,195.995541,10848.663216,19204.620965,33400.8512,3525.309372,6375.666805,1885.512836,186.878599,64578.839777,6890.124951,4397.941604,733.458156,895.200705,283.66443,196.036186,13396.426032,16587.691003,27771.169718,2344.7857,6302.662472,1902.405841,186.87963,55095.594364,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-09,4299.941669,1495.915447,1429.951548,781.044519,361.856362,184.319811,8553.029356,14335.704695,34336.2751,2309.478964,5300.495504,2378.671431,889.061727,59549.687421,4379.322601,2512.215165,687.328939,773.610327,315.441823,184.341536,8852.260391,15057.836556,29064.6114,1369.294136,5192.338777,2416.122458,890.894652,53991.097979,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-08,4994.778416,1869.094844,969.091878,511.230062,197.253356,163.020736,8704.469292,19022.023139,37423.2664,4721.209,19346.433868,2043.769676,636.291504,83192.993587,4936.996068,2620.784947,637.916132,504.384534,153.802216,162.97584,9016.859737,18680.874379,32457.8142,3013.1656,19300.550793,2058.44869,636.376094,76147.229756,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-07,4783.824573,1508.966112,1052.606693,596.249734,425.744967,150.593816,8517.985895,16786.882795,35212.816,4092.8562,19938.062591,2554.704659,145.889378,78731.211623,4628.594193,3672.962828,428.593173,596.73269,130.454464,150.781193,9608.118541,16324.95025,30221.5811,2467.536745,19987.733023,2612.336448,145.935235,71760.072801,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-06,4527.482882,1316.624742,1411.421249,700.886682,203.61141,63.7257,8223.752665,15701.049767,29815.2979,3290.7235,4819.620614,2225.090946,181.184818,56032.967545,4760.286919,2788.495838,578.671092,710.757067,173.937803,63.7031,9075.851819,15346.531412,30328.9261,2781.0234,4768.671435,2265.12562,181.171922,55671.449889,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-05,4003.163604,943.220049,1876.406665,649.087286,396.265495,163.481804,8031.624903,13392.087134,32208.3928,3428.8084,5883.196403,2491.201989,162.833791,57566.520517,4889.230097,2566.946507,647.606704,673.331913,253.412172,164.417957,9194.94535,13144.648772,32885.2399,1693.0378,5913.469239,2832.826609,162.429666,56631.651986,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-02,4728.676983,1546.46228,1609.612197,678.994337,258.236478,61.379888,8883.362163,15001.761278,32923.6206,2884.000271,4474.174808,2496.686641,139.415692,57919.65929,5010.595764,3302.048164,1052.114103,658.251742,120.354325,61.470588,10204.834686,14367.27264,32176.152798,2169.322681,4398.010904,3022.310579,139.40184,56272.471442,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-01,652.899362,476.255199,146.244464,43.6123,59.3114,2.3492,1380.671925,6620.506838,17156.531,248.675,196.800012,117.6132,0.0,24340.12605,825.108252,1549.719087,55.139731,26.4305,15.7772,2.3586,2474.53337,5351.718026,18705.91,604.925,182.520612,140.743,0.0,24985.816638,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2025,December,12,2025-12-31,5479.694436,3969.299802,1748.400935,992.590761,433.383158,506.676585,13130.045677,20521.368049,37149.3371,1797.117683,4008.264509,2341.016612,1283.543071,67100.647024,4873.117137,3178.207292,2391.147351,1033.878187,370.741126,506.762757,12353.85385,20166.363522,35757.0751,1581.992796,3874.956728,2418.501206,1283.846246,65082.735598,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
