year,month,month_numeric,date_stamp,usd_inr_interbank_open_rate,usd_inr_interbank_high_rate,usd_inr_interbank_low_rate,usd_inr_interbank_close_rate,usd_inr_rbi_reference_rate,released_on,updated_on,data_source,data_url
2021,May,5,2021-05-21,72.985,72.835,73.095,72.835,73.0233,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-20,73.155,73.095,73.185,73.105,73.1168,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-19,73.035,72.925,73.175,73.165,72.967,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-18,73.195,72.955,73.205,73.055,73.0353,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-17,73.275,73.165,73.275,73.215,73.2423,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-14,73.425,73.215,73.435,73.295,73.3721,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-12,73.505,73.395,73.515,73.425,73.4389,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-11,73.485,73.315,73.535,73.345,73.4518,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-10,73.355,73.345,73.495,73.355,73.4135,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2021,May,5,2021-05-07,73.635,73.515,73.755,73.515,73.7443,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
