fiscal_year,month_numeric,month,category,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2023-2024,6,June,(PUBLIC PROVIDENT FUNDS),2161.78,15611.60,2358.15,17765.80,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(PUBLIC PROVIDENT FUNDS),2258.05,17869.65,2402.41,20168.21,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(PUBLIC PROVIDENT FUNDS),1622.74,19492.39,2186.18,22354.39,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(PUBLIC PROVIDENT FUNDS),1402.23,20894.62,2089.03,24443.42,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(PUBLIC PROVIDENT FUNDS),1169.77,22064.39,1564.49,26007.91,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(PUBLIC PROVIDENT FUNDS),1383.65,23448.04,1879.28,27887.19,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(PUBLIC PROVIDENT FUNDS),1954.48,25402.52,2695.82,30583.01,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(PUBLIC PROVIDENT FUNDS),3154.54,28557.06,4271.59,34854.60,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(PUBLIC PROVIDENT FUNDS),3272.75,31829.81,4971.08,39825.68,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(PUBLIC PROVIDENT FUNDS),80097.65,111927.46,65475.70,105301.38,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(INVESTMENT IN SECURITIES),44151.86,44151.86,25912.69,25912.69,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(INVESTMENT IN SECURITIES),9806.03,53957.89,7770.73,33683.42,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(INVESTMENT IN SECURITIES),13745.42,67703.31,9034.19,42717.61,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(INVESTMENT IN SECURITIES),-132460.73,-64757.42,-54080.13,-11362.52,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(INVESTMENT IN SECURITIES),12064.66,-52692.76,6869.93,-4492.59,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(INVESTMENT IN SECURITIES),-42362.90,-95055.66,-101257.39,-105749.98,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(INVESTMENT IN SECURITIES),-57712.69,-152768.35,7966.42,-97783.56,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(INVESTMENT IN SECURITIES),-22461.62,-175229.97,-39741.92,-137525.48,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(INVESTMENT IN SECURITIES),-19729.30,-194959.27,-15371.63,-152897.11,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(INVESTMENT IN SECURITIES),-18087.00,-213046.27,12094.43,-140802.68,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(INVESTMENT IN SECURITIES),18184.35,-194861.92,-7466.72,-148269.40,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(INVESTMENT IN SECURITIES),-220260.87,-415122.79,-210274.34,-358543.74,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(INCOME / EXPENDITURE OF NSSF),11067.31,11067.31,9068.53,9068.53,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(INCOME / EXPENDITURE OF NSSF),4786.39,15853.70,4709.71,13778.24,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(INCOME / EXPENDITURE OF NSSF),4081.52,19935.22,5169.86,18948.10,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(INCOME / EXPENDITURE OF NSSF),-1951.05,17984.17,-666.53,18281.57,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(INCOME / EXPENDITURE OF NSSF),6641.49,24625.66,7518.14,25799.71,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(INCOME / EXPENDITURE OF NSSF),33734.17,58359.83,33238.70,59038.41,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(INCOME / EXPENDITURE OF NSSF),7397.63,65757.46,7643.93,66682.34,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(INCOME / EXPENDITURE OF NSSF),4177.82,69935.28,5069.50,71751.84,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(INCOME / EXPENDITURE OF NSSF),2715.89,72651.17,3038.65,74790.49,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(INCOME / EXPENDITURE OF NSSF),-2603.77,70047.40,739.35,75529.84,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(INCOME / EXPENDITURE OF NSSF),4959.08,75006.48,6374.87,81904.71,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(INCOME / EXPENDITURE OF NSSF),-69119.18,5887.30,-55421.04,26483.67,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(OTHERS),49186.04,49186.04,-4401.13,-4401.13,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(OTHERS),8375.50,57561.54,113021.36,108620.23,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(OTHERS),88293.28,145854.82,-38313.77,70306.46,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(OTHERS),-27909.16,117945.66,-110491.95,-40185.49,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(OTHERS),-129710.79,--11765.13,12188.79,-27996.70,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(OTHERS),72293.98,60528.85,-6276.07,-34272.77,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(OTHERS),45350.73,105879.58,42084.11,7811.34,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(OTHERS),-11727.48,94152.10,3197.19,11008.53,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(OTHERS),39564.77,133716.87,6029.08,17037.61,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(OTHERS),5793.01,139509.88,55238.75,72276.36,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(OTHERS),-24994.25,114515.63,-19662.81,52613.55,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(OTHERS),-502.99,114012.64,58380.54,110994.09,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-2304,-2304,-83210,-118562,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-89994,-89994,-261190,-296542,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-194160,-194160,-305271,-340623,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-197896,-197896,-296950,-332302,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-146557,-146557,-255099,-290451,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),54409,54409,-204761,-240113,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-389274,-389274,-223706,-259058,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-270562,-270562,-154784,-190136,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-354092,-354092,-167573,-202925,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-380158,-380158,-174803,-210155,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-255254,-255254,-86282,-121634,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-172172,-172172,35352,0,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,4,April,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,5,May,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,1,January,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,2,February,(WAYS AND MEANS ADVANCES),-48677.00,0.00,0.00,0.00,2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,3,March,(WAYS AND MEANS ADVANCES),-48677.00,0.00,48677.00,48677.00,2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,EXTERNAL FINANCING,-1603.94,-1603.94,1891.41,1891.41,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,EXTERNAL FINANCING,2802.69,1198.75,1980.58,3871.99,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,EXTERNAL FINANCING,-1154.26,44.49,33.67,3905.66,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,EXTERNAL FINANCING,4728.41,4772.90,3547.90,7453.56,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,EXTERNAL FINANCING,14821.26,19594.16,2721.65,10175.21,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,EXTERNAL FINANCING,-784.17,18809.99,-2990.70,7184.51,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,EXTERNAL FINANCING,-983.36,17826.63,2682.14,9866.65,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,EXTERNAL FINANCING,-868.33,16958.30,614.55,10481.20,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,EXTERNAL FINANCING,2237.42,19195.72,18349.47,28830.67,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,EXTERNAL FINANCING,3096.67,22292.39,3599.88,32430.55,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,EXTERNAL FINANCING,964.96,23257.35,4285.06,36715.61,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,EXTERNAL FINANCING,24013.45,47270.80,18405.25,55120.86,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,DOMESTIC FINANCING,211739.74,211739.74,131703.53,131703.53,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,DOMESTIC FINANCING,-162323.77,49415.97,74711.93,206415.46,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,DOMESTIC FINANCING,86251.07,135667.04,241048.61,447464.07,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,DOMESTIC FINANCING,136505.51,272172.55,150674.98,598139.05,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,DOMESTIC FINANCING,143409.46,415582.01,34511.74,632650.79,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,DOMESTIC FINANCING,40128.08,455710.09,62025.70,694676.49,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,DOMESTIC FINANCING,277287.21,732997.30,99156.85,793833.34,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,DOMESTIC FINANCING,96638.37,829635.67,102269.93,896103.27,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,DOMESTIC FINANCING,65257.94,894893.61,57344.55,953447.82,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,DOMESTIC FINANCING,252356.50,1147250.11,116723.54,1070171.36,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,DOMESTIC FINANCING,176344.23,1323594.34,394477.79,1464649.15,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,DOMESTIC FINANCING,206404.48,1529998.82,134872.45,1599521.60,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,(MARKET BORROWINGS),118450.22,118450.22,73089.13,73089.13,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,(MARKET BORROWINGS),36638.83,155089.05,110147.75,183236.88,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,(MARKET BORROWINGS),-10887.07,144201.98,219922.35,403159.23,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,(MARKET BORROWINGS),20750.11,164952.09,154410.82,557570.05,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,(MARKET BORROWINGS),78505.61,243457.70,77820.97,635391.02,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,(MARKET BORROWINGS),57693.37,301151.07,-266282.93,369108.09,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,(MARKET BORROWINGS),66493.00,367644.07,468998.60,838106.69,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,(MARKET BORROWINGS),-43035.73,324608.34,-26231.04,811875.65,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,(MARKET BORROWINGS),165251.61,489859.95,81247.13,893122.78,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,(MARKET BORROWINGS),186743.48,676603.43,113499.37,1006622.15,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,(MARKET BORROWINGS),135714.23,812317.66,269959.77,1276581.92,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,(MARKET BORROWINGS),80354.04,892671.70,-8945.71,1267636.21,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,(SECURITIES AGAINST SMALL SAVINGS),-31716.04,-31716.04,-41532.90,-41532.90,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,(SECURITIES AGAINST SMALL SAVINGS),-75044.20,-106760.24,-7301.32,-48834.22,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,(SECURITIES AGAINST SMALL SAVINGS),131150.01,24389.77,-9059.18,-57893.40,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,(SECURITIES AGAINST SMALL SAVINGS),24924.12,49313.89,130277.13,72383.73,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,(SECURITIES AGAINST SMALL SAVINGS),24450.23,73764.12,-8377.18,64006.55,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,(SECURITIES AGAINST SMALL SAVINGS),28566.88,102331.00,44260.50,108267.05,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,(SECURITIES AGAINST SMALL SAVINGS),19589.80,121920.80,59432.26,167699.31,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,(SECURITIES AGAINST SMALL SAVINGS),15717.77,137638.57,25978.25,193677.56,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,(SECURITIES AGAINST SMALL SAVINGS),-5590.11,132048.46,22212.82,215890.38,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,(SECURITIES AGAINST SMALL SAVINGS),-11229.01,120819.45,22680.14,238570.52,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,(SECURITIES AGAINST SMALL SAVINGS),37150.43,157969.88,-15937.14,222633.38,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,(SECURITIES AGAINST SMALL SAVINGS),3697.93,161667.81,228765.56,451398.94,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,(STATE PROVIDENT FUNDS),2877.74,2877.74,3746.05,3746.05,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,(STATE PROVIDENT FUNDS),-2788.11,89.63,-2812.21,933.84,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,(STATE PROVIDENT FUNDS),-2045.46,-1955.83,-511.60,422.24,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,(STATE PROVIDENT FUNDS),-220.83,-2176.66,-1357.70,-935.46,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,(STATE PROVIDENT FUNDS),-1035.61,-3212.27,-2680.84,-3616.30,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,(STATE PROVIDENT FUNDS),-1020.46,-4232.73,-665.51,-4281.81,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,(STATE PROVIDENT FUNDS),-548.14,-4780.87,460.28,-3821.53,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,(STATE PROVIDENT FUNDS),-667.89,-5448.76,-214.36,-4035.89,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,(STATE PROVIDENT FUNDS),-561.52,-6010.28,-351.90,-4387.79,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,(STATE PROVIDENT FUNDS),-1602.22,-7612.50,-2191.49,-6579.28,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,(STATE PROVIDENT FUNDS),-996.88,-8609.38,-411.67,-6990.95,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,(STATE PROVIDENT FUNDS),13536.69,4927.31,12049.80,5058.85,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-13.85,-13.85,-18.54,-18.54,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-67.88,-81.73,2467.55,2449.01,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-40.36,-122.09,-3037.84,-588.83,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-136.46,-258.55,1601.00,1012.17,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,8,August,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-731.11,-989.66,1730.95,2743.12,2024-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,9,September,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-10713.89,-11703.55,-5311.51,-2568.39,2024-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,10,October,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",107.00,-11596.55,-479.80,-3048.19,2024-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,11,November,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-1062.60,-12659.15,-6376.23,-9424.42,2024-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,12,December,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-29040.82,-41699.97,-8094.78,-17519.20,2025-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-5808.12,-47508.09,-544.85,-18064.05,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
