fiscal_year,month_numeric,month,category,sub_category,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2025-2026,4,April,Miscellaneous Capital Receipts,(ii) Others,0.00,17737.95,,,2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,4,April,TOTAL,TOTAL,76000.00,22459.45,30%,(1%),2025-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Recoveries of Loans and Advances,Gross Recoveries,146750.01,2638.74,2%,(3%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,33.22,<1%,(<1%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,2605.52,9%,(7%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,22618.27,48%,(<1%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Miscellaneous Capital Receipts,(i) Receipts,47000.00,3780.85,8%,(<1%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,5,May,TOTAL,TOTAL,76000.00,25223.79,33%,(3%),2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Recoveries of Loans and Advances,Gross Recoveries,146750.01,5440.15,4%,(13%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,44.77,<1%,(11%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,5395.38,19%,(16%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,22623.07,48%,(<1%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Miscellaneous Capital Receipts,(i) Receipts,47000.00,3785.65,8%,(<1%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,TOTAL,TOTAL,76000.00,28018.45,37%,(6%),2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Recoveries of Loans and Advances,Gross Recoveries,146750.01,7194.44,5%,(15%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,56.55,<1%,(11%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,7137.89,25%,(23%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,22650.83,48%,(<1%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Miscellaneous Capital Receipts,(i) Receipts,47000.00,3813.41,8%,(<1%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,TOTAL,TOTAL,76000.00,29788.72,39%,(8%),2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Recoveries of Loans and Advances,Gross Recoveries,146750.01,8620.83,6%,(37%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,67.81,<1%,(41%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,8553.02,29%,(29%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,23417.19,50%,(2%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Miscellaneous Capital Receipts,(i) Receipts,47000.00,4579.77,10%,(2%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,TOTAL,TOTAL,76000.00,31970.21,42%,(11%),2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Recoveries of Loans and Advances,Gross Recoveries,146750.01,11432.24,8%,(41%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,79.40,<1%,(41%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,11352.84,39%,(41%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,23417.24,50%,(6%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Miscellaneous Capital Receipts,(i) Receipts,47000.00,4579.82,10%,(6%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,TOTAL,TOTAL,76000.00,34770.08,46%,(19%),2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Recoveries of Loans and Advances,Gross Recoveries,146750.01,13483.49,9%,(47%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,91.60,<1%,(46%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,13391.89,46%,(47%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,23703.51,50%,(11%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Miscellaneous Capital Receipts,(i) Receipts,47000.00,4866.09,10%,(11%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,TOTAL,TOTAL,76000.00,37095.40,49%,(24%),2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Recoveries of Loans and Advances,Gross Recoveries,146750.01,22749.78,16%,(50%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,7539.68,15%,(48%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,15210.10,52%,(53%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,23716.56,50%,(18%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Miscellaneous Capital Receipts,(i) Receipts,47000.00,4879.14,10%,(18%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,TOTAL,TOTAL,76000.00,38926.66,51%,(31%),2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Recoveries of Loans and Advances,Gross Recoveries,146750.01,37028.98,25%,(54%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Recoveries of Loans and Advances,Less Recoveries of Ways & Means Advances and Loans to Govt. Servants,50250.01,18802.64,37%,(48%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Recoveries of Loans and Advances,Less Back to back loans to States in lieu of GST compensation shortfall,67500.00,0.00,0%,,2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,29000.00,18226.34,63%,(65%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,47000.00,27820.88,59%,(18%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Miscellaneous Capital Receipts,(i) Receipts,47000.00,8983.46,19%,(18%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,Miscellaneous Capital Receipts,(ii) Others,0.00,18837.42,,,2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,TOTAL,TOTAL,76000.00,46047.22,61%,(35%),2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
