fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,8,August,Recovery of Loans,14967,6635,44.3%,(39.8%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Other Receipts,210000,29,0.0%,(11.8%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Total Receipts (1+4),2245893,377306,16.8%,(29.8%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Revenue Expenditure,2630221,1113206,42.3%,(42.4%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,of which Interest Payments,708203,237662,33.6%,(33.2%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Capital Expenditure,412009,134447,32.6%,(40.3%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,of which Loans disbursed,31763,15178,47.8%,(36.2%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Total Expenditure (8+10),3042230,1247653,41.0%,(42.2%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Fiscal Deficit (12-7),796337,870347,109.3%,(78.7%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Revenue Deficit (8-1),609295,742564,121.9%,(89.8%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Primary Deficit (13-9),88134,632685,717.9%,(773.4%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,9,September,Revenue Receipts,2020926,550782,27.3%,(41.6%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Tax Revenue (Net),1635909,458508,28.0%,(36.8%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Non-Tax Revenue,385017,92274,24.0%,(66.7%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Non-Debt Capital Receipts,224967,14635,6.5%,(17.2%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Recovery of Loans,14967,8854,59.2%,(55.6%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
