fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,1,January,Food Subsidy,286469.11,209873.72,125389.25,73%,(30%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2021-2022.aspx
2021-2022,1,January,Nutrient Based Fertilizers Subsidy,64192.00,43671.63,26461.72,68%,(68%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2021-2022.aspx
2021-2022,1,January,Urea Subsidy,75930.32,72749.41,72209.51,96%,(76%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2021-2022.aspx
2021-2022,1,January,Petroleum,6516.92,1407.97,28595.95,22%,(73%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2021-2022.aspx
2021-2022,1,January,Total Major Subsidies,433108.35,327702.73,252656.43,76%,(42%),2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2021-2022.aspx
2021-2022,2,February,Food Subsidy,286469.11,253088.51,218857.43,88%,(52%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2021-2022.aspx
2021-2022,2,February,Nutrient Based Fertilizers Subsidy,64192.00,47289.77,32659.27,74%,(84%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2021-2022.aspx
2021-2022,2,February,Urea Subsidy,75930.32,80352.02,85090.51,106 %,(90%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2021-2022.aspx
2021-2022,2,February,Petroleum,6516.92,1430.80,28962.64,22 %,(74%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2021-2022.aspx
2021-2022,2,February,Total Major Subsidies,433108.35,382161.10,365569.85,88%,(61%),2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2021-2022.aspx
2021-2022,3,March,Food Subsidy,286469.11,288968.54,541330.14,101%,(128%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2021-2022.aspx
2021-2022,3,March,Nutrient Based Fertilizers Subsidy,64192.00,52769.97,37372.47,82 %,(96%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2021-2022.aspx
2021-2022,3,March,Urea Subsidy,75930.32,100888.14,90549.27,133 %,(95%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2021-2022.aspx
2021-2022,3,March,Petroleum,6516.92,3421.07,37878.43,52 %,(97%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2021-2022.aspx
2021-2022,3,March,Total Major Subsidies,433108.35,446047.72,707130.31,103%,(119%),2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2021-2022.aspx
2021-2022,4,April,Food Subsidy,242836.00,36008.97,19232.88,15%,(17%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2021-2022.aspx
2021-2022,4,April,Nutrient Based Fertilizers Subsidy,20762.00,578.94,7794.95,3%,(33%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2021-2022.aspx
2021-2022,4,April,Urea Subsidy,58767.68,780.87,12798.98,1%,(27%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2021-2022.aspx
2021-2022,4,April,Petroleum,14073.35,0.00,4242.38,0%,(10%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2021-2022.aspx
2021-2022,4,April,Total Major Subsidies,336439.03,37368.78,44069.19,11%,(19%),2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2021-2022.aspx
2021-2022,5,May,Food Subsidy,242836.00,55797.11,35950.90,23%,(31%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Nutrient Based Fertilizers Subsidy,20762.00,1973.72,7794.95,10%,(33%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Urea Subsidy,58767.68,4829.28,15382.09,8%,(32%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Petroleum,14073.35,63.46,8341.14,0%,(20%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Total Major Subsidies,336439.03,62663.57,67469.08,19%,(30%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,6,June,Food Subsidy,242836.00,82191.25,41047.53,34%,(36%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Nutrient Based Fertilizers Subsidy,20762.00,5306.00,7798.95,26%,(33%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Urea Subsidy,58767.68,11413.51,17714.55,19%,(37%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Petroleum,14073.35,1179.49,12403.23,8%,(30%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
