fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2023-2024,5,May,Net Non-Tax Revenue,301650.44,134655.18,45%,(18)%,2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,A. Interest Receipts,24820.12,9546.16,38%,(28)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,B. Dividends and Profits,91000.00,95870.38,105%,(30)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,C. Non-Tax Revenue of U.T.s,2313.13,1165.29,50%,(22)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,D. Other Non-Tax Revenue,,,,,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Other Non-Tax Revenue Fiscal Services (Net),1431.00,348.41,24%,(5)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Other Non-Tax Revenue General Services (Net),24312.50,7152.78,29%,(31)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Other Non-Tax Revenue Social Services,3961.29,2421.93,61%,(35)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Other Non-Tax Revenue Economic Services (Net),151677.09,38403.24,25%,( 13)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,59.90,3%,( 26)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Total Other Non-Tax Revenue,183517.19,48386.26,26%,(16)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,6,June,Net Non-Tax Revenue,301650.44,154968.09,51%,(23)%,2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,A. Interest Receipts,24820.12,11304.13,46%,(42)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,B. Dividends and Profits,91000.00,103942.69,114%,(37)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,C. Non-Tax Revenue of U.T.s,2313.13,1380.28,60%,(28)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,D. Other Non-Tax Revenue,,,,,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Other Non-Tax Revenue Fiscal Services (Net),1431.00,362.03,25%,(6)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Other Non-Tax Revenue General Services (Net),24312.50,9122.66,38%,(42)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Other Non-Tax Revenue Social Services,3961.29,2951.23,75%,(56)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Other Non-Tax Revenue Economic Services (Net),151677.09,49662.70,33%,( 26)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,77.86,4%,( 29)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Total Other Non-Tax Revenue,183517.19,62176.48,34%,(29)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,7,July,Net Non-Tax Revenue,301650.44,178803.58,59%,(33)%,2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,A. Interest Receipts,24820.12,14595.10,59%,(56)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,B. Dividends and Profits,91000.00,106619.72,117%,(37)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,C. Non-Tax Revenue of U.T.s,2313.13,1590.75,69%,(35)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,D. Other Non-Tax Revenue,,,,,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Other Non-Tax Revenue Fiscal Services (Net),1431.00,753.51,53%,(13)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Other Non-Tax Revenue General Services (Net),24312.50,11729.67,48%,(51)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Other Non-Tax Revenue Social Services,3961.29,3204.45,81%,(65)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Other Non-Tax Revenue Economic Services (Net),151677.09,70968.69,47%,( 46)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,120.72,6%,( 82)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Total Other Non-Tax Revenue,183517.19,86777.04,47%,(47)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,8,August,Net Non-Tax Revenue,301650.44,209582.61,69%,(43)%,2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,A. Interest Receipts,24820.12,17310.21,70%,(69)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,B. Dividends and Profits,91000.00,120656.79,133%,(47)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,C. Non-Tax Revenue of U.T.s,2313.13,1789.58,77%,(42)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,D. Other Non-Tax Revenue,,,,,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Other Non-Tax Revenue Fiscal Services (Net),1431.00,757.11,53%,(13)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Other Non-Tax Revenue General Services (Net),24312.50,13782.44,57%,(64)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Other Non-Tax Revenue Social Services,3961.29,3667.55,93%,(75)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Other Non-Tax Revenue Economic Services (Net),151677.09,78685.56,52%,(68 )%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,122.75,6%,( 103)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Total Other Non-Tax Revenue,183517.19,97015.41,53%,(67)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,9,September,Net Non-Tax Revenue,301650.44,236771.99,78%,(58)%,2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,A. Interest Receipts,24820.12,19542.92,79%,(79)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,B. Dividends and Profits,91000.00,124529.93,137%,(51)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,C. Non-Tax Revenue of U.T.s,2313.13,2032.01,88%,(52)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,D. Other Non-Tax Revenue,,,,,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Other Non-Tax Revenue Fiscal Services (Net),1431.00,763.09,53%,(13)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Other Non-Tax Revenue General Services (Net),24312.50,15867.61,65%,(73)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Other Non-Tax Revenue Social Services,3961.29,4005.36,101%,(86)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Other Non-Tax Revenue Economic Services (Net),151677.09,98890.76,65%,(79 )%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,132.82,6%,( 106)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Total Other Non-Tax Revenue,183517.19,119659.64,65%,(78)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,10,October,Net Non-Tax Revenue,301650.44,265764.50,88%,(66)%,2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,A. Interest Receipts,24820.12,23514.53,95%,(92)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,B. Dividends and Profits,91000.00,131108.94,144%,(60)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,C. Non-Tax Revenue of U.T.s,2313.13,2282.40,99%,(59)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,D. Other Non-Tax Revenue,,,,,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Other Non-Tax Revenue Fiscal Services (Net),1431.00,1173.85,82%,(27)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Other Non-Tax Revenue General Services (Net),24312.50,18110.70,74%,(82)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Other Non-Tax Revenue Social Services,3961.29,4335.19,109%,(96)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Other Non-Tax Revenue Economic Services (Net),151677.09,103676.08,68%,(83 )%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,163.02,8%,( 146)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Total Other Non-Tax Revenue,183517.19,127458.84,69%,(83)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,11,November,Net Non-Tax Revenue,301650.44,284364.71,94%,(74)%,2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,A. Interest Receipts,24820.12,26958.72,109%,(105)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,B. Dividends and Profits,91000.00,147231.87,162%,(67)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,C. Non-Tax Revenue of U.T.s,2313.13,2490.43,108%,(66)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,D. Other Non-Tax Revenue,,,,,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Other Non-Tax Revenue Fiscal Services (Net),1431.00,1217.46,85%,(27)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Other Non-Tax Revenue General Services (Net),24312.50,20286.03,83%,(94)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Other Non-Tax Revenue Social Services,3961.29,4690.32,118%,(107)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Other Non-Tax Revenue Economic Services (Net),151677.09,108768.45,72%,(86 )%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Other Non-Tax Revenue Grants-in-Aid and Contributions,2135.31,714.78,33%,( 146)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Total Other Non-Tax Revenue,183517.19,135677.04,74%,(87)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2023-2024,12,December,Net Non-Tax Revenue,301650.44,312358.06,104%,(79)%,2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,A. Interest Receipts,34041.86,32162.19,94%,(94%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,B. Dividends and Profits,289284.60,285867.95,99%,(96%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,C. Non-Tax Revenue of U.T.s,3070.28,2736.86,89%,(113%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,D. Other Non-Tax Revenue,,,,,2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Other Non-Tax Revenue Fiscal Services (Net),1473.82,1247.74,85%,(70%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Other Non-Tax Revenue General Services (Net),21470.47,23795.65,111%,(90%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Other Non-Tax Revenue Social Services,6426.34,5430.77,85%,(84%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Other Non-Tax Revenue Economic Services (Net),174056.87,115727.63,66%,(84%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Other Non-Tax Revenue Grants-in-Aid and Contributions,1175.76,660.68,56%,(51%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Total Other Non-Tax Revenue,204603.26,146862.47,72%,(84%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,1,January,Net Non-Tax Revenue,531000.00,467629.47,88%,(90%),2025-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,A. Interest Receipts,34041.86,35204.35,103%,(107%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,B. Dividends and Profits,289284.60,300085.98,104%,(102%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,C. Non-Tax Revenue of U.T.s,3070.28,2883.64,94%,(122%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,D. Other Non-Tax Revenue,,,,,2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Other Non-Tax Revenue Fiscal Services (Net),1473.82,1556.50,106%,(93%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Other Non-Tax Revenue General Services (Net),21470.47,25502.90,119%,(99%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Other Non-Tax Revenue Social Services,6426.34,6217.24,97%,(97%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Other Non-Tax Revenue Economic Services (Net),174056.87,121210.87,70%,(87%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Other Non-Tax Revenue Grants-in-Aid and Contributions,1175.76,658.01,56%,(51%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Total Other Non-Tax Revenue,204603.26,155145.52,76%,(89%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,2,February,Net Non-Tax Revenue,531000.00,493319.49,93%,( 96%),2025-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,A. Interest Receipts,34041.86,41223.47,121%,(120%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,B. Dividends and Profits,289284.60,308422.87,107%,(111%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,C. Non-Tax Revenue of U.T.s,3070.28,2794.13,91%,(120%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,D. Other Non-Tax Revenue,,,,,2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Other Non-Tax Revenue Fiscal Services (Net),1473.82,2056.00,140%,(105%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Other Non-Tax Revenue General Services (Net),21470.47,27307.68,127%,(109%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Other Non-Tax Revenue Social Services,6426.34,6754.39,105%,(126%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Other Non-Tax Revenue Economic Services (Net),174056.87,148298.51,85%,(99%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Other Non-Tax Revenue Grants-in-Aid and Contributions,1175.76,686.66,58%,(70%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Total Other Non-Tax Revenue,204603.26,185103.24,90%,(101%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,3,March,Net Non-Tax Revenue,531000.00,537543.71,101%,(107%),2025-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,A. Interest Receipts,33107.00,3530.60,11%,(3)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,B. Dividends and Profits,150000.00,3637.47,2%,(<1)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,C. Non-Tax Revenue of U.T.s,2910.32,233.39,8%,(11)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,D. Other Non-Tax Revenue,,,,,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Other Non-Tax Revenue Fiscal Services (Net),2034.41,4.94,<1%,(<1)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Other Non-Tax Revenue General Services (Net),23320.91,3517.96,15%,(13)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Other Non-Tax Revenue Social Services,5890.63,918.58,16%,(16)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Other Non-Tax Revenue Economic Services (Net),181393.92,15451.05,9%,(4)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,1.24,<1%,(<1)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Total Other Non-Tax Revenue,213683.68,19893.77,9%,(5)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,4,April,Net Non-Tax Revenue,399701.00,27295.23,7%,(4)%,2024-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,A. Interest Receipts,33107.00,7924.42,24%,(22)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,B. Dividends and Profits,150000.00,215829.15,144%,(96)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,C. Non-Tax Revenue of U.T.s,2910.32,461.35,16%,(41)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,D. Other Non-Tax Revenue,,,,,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Other Non-Tax Revenue Fiscal Services (Net),2034.41,381.03,19%,(24)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Other Non-Tax Revenue General Services (Net),23320.91,5190.94,22%,(22)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Other Non-Tax Revenue Social Services,5890.63,1593.66,27%,(39)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Other Non-Tax Revenue Economic Services (Net),181393.92,20329.64,11%,(22)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,11.63,1%,(1)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Total Other Non-Tax Revenue,213683.68,27506.90,13%,(22)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,5,May,Net Non-Tax Revenue,399701.00,251721.82,63%,(45)%,2024-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,A. Interest Receipts,33107.00,11714.50,35%,(38%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,B. Dividends and Profits,150000.00,224325.00,150%,(105%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,C. Non-Tax Revenue of U.T.s,2910.32,677.30,23%,(50%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,D. Other Non-Tax Revenue,,,,,2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Other Non-Tax Revenue Fiscal Services (Net),2034.41,390.57,19%,(24%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Other Non-Tax Revenue General Services (Net),23320.91,7199.89,31%,(29%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Other Non-Tax Revenue Social Services,5890.63,1857.88,32%,(61%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Other Non-Tax Revenue Economic Services (Net),181393.92,33856.01,19%,(25%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Other Non-Tax Revenue Grants-in-Aid and Contributions,1043.81,22.59,2%,(3%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Total Other Non-Tax Revenue,213683.68,43326.94,20%,(26%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,6,June,Net Non-Tax Revenue,399701.00,280043.74,70%,(51%),2024-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,A. Interest Receipts,38224.00,13840.24,36%,(46%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,B. Dividends and Profits,289134.00,228822.97,79%,(114%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,C. Non-Tax Revenue of U.T.s,2910.32,938.17,32%,(60%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,D. Other Non-Tax Revenue,,,,,2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Other Non-Tax Revenue Fiscal Services (Net),1834.41,416.89,23%,(25%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Other Non-Tax Revenue General Services (Net),23320.91,8864.43,38%,(38%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2024-2025,7,July,Other Non-Tax Revenue Social Services,7143.63,2593.80,36%,(75%),2024-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
