fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,7,July,B. Dividends and Profits,155395.47,2420.04,2%,(< 1% ),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,C. Non-Tax Revenue of U.T.s,2302.56,377.79,16%,(29%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,D. Other Non-Tax Revenue,,,,,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Other Non-Tax Revenue Fiscal Services (Net),750.80,27.12,4%,(59% ),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Other Non-Tax Revenue General Services (Net),21620.82,4217.03,20%,(38%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Other Non-Tax Revenue Social Services,4268.59,1789.78,42%,( 23%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Other Non-Tax Revenue Economic Services (Net),188825.02,12690.43,7%,( 27%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,272.52,34%,(3% ),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Total Other Non-Tax Revenue,216277.23,18996.88,9%,(29%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,7,July,Net Non-Tax Revenue,385017.30,24613.46,6%,(14%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,A. Interest Receipts,11042.04,4069.73,37%,(37%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,B. Dividends and Profits,155395.47,59577.51,38%,(92%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,C. Non-Tax Revenue of U.T.s,2302.56,548.63,24%,(38%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,D. Other Non-Tax Revenue,,,,,2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Other Non-Tax Revenue Fiscal Services (Net),750.80,35.86,5%,(75%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Other Non-Tax Revenue General Services (Net),21620.82,5313.41,25%,(43%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Other Non-Tax Revenue Social Services,4268.59,1949.24,46%,(38%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Other Non-Tax Revenue Economic Services (Net),188825.02,14376.21,8%,(29%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Other Non-Tax Revenue Grants-in-Aid and Contributions,812.00,276.38,34%,(15%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Total Other Non-Tax Revenue,216277.23,21951.10,10%,(32%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2020-2021,8,August,Net Non-Tax Revenue,385017.30,86146.97,22%,(63%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
